conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.7165450130899748,0.6101905325783035,0.5242618492618493,0.23534196951592198,0.18834040405279773,0.5318418194850286,0.41758799446962086,0.6082602427140242,0.19090909090909092,7.301014701525371
2,9,0.6311852600839403,0.5454519741619844,0.49943019943019945,0.18823485675363,0.16826964174911765,0.426654356221358,0.3651250260898705,0.6413333047583522,0.10246913580246914,7.16669676038954
3,10,0.763428920507431,0.7286224233283056,0.7220923520923521,0.1773891367891368,0.1166688432972474,0.49047627197578547,0.39042796281318715,0.5977615005649171,0.15,10.876278066635132
4,9,0.9014775024520026,0.7572051042639277,0.827665544332211,0.4057766834764965,0.3931867003383286,0.7307433552212186,0.47565170083224334,0.6058848558848559,0.30723905723905726,8.790514548619589
5,5,0.9901650667190551,0.9333333333333332,0.8800000000000001,0.29736336609671155,0.331398249594306,0.6434564828872681,0.32557472829795303,0.7538963201003235,0.375,12.060508155822754
6,1,0.7196267247200012,0.6956521739130435,0.7407407407407408,0.36942675159235666,0.36036036036036034,0.7003803253173828,0.5061261561009791,0.6233766233766234,0.15789473684210525,13.035879850387573
7,4,0.8821448981761932,0.7583333333333333,0.5807692307692307,0.47039473684210525,0.41911764705882354,0.5803120136260986,0.8321248054504394,0.0,0.25,5.417847275733948
8,7,0.7246264219284058,0.6060985797827902,0.5705627705627706,0.23292799557089633,0.22891735974532393,0.5561634046690804,0.38981739200882337,0.6718297839762819,0.10966810966810968,6.3220223018101285
9,7,0.6491628597889628,0.5429750847707504,0.5108225108225108,0.27861034443102756,0.26326583966538875,0.6071149621691022,0.4439327718072002,0.6020583991172226,0.2261904761904762,16.754939351763046
10,6,0.9327853421370188,0.7063492063492064,0.8373015873015873,0.5612956989247312,0.4534229973247847,0.7283712526162466,0.627486287060298,0.4218532925812726,0.8282828282828283,7.850259462992351
11,5,0.7621365547180176,0.7224242424242424,0.7365079365079366,0.4231292517006803,0.36752136752136755,0.6728023171424866,0.5249674197364639,0.47695970695970696,0.5,6.880186653137207
12,10,0.9095489025115967,0.8188842203548086,0.8335353535353536,0.32958455909185685,0.26915906353073205,0.7043815374374389,0.5729994591119311,0.4626053946053946,0.37,6.17924485206604
13,1,0.6827290654182434,0.47619047619047616,0.761904761904762,0.3714285714285714,0.32608695652173914,0.6363193392753601,0.854527735710144,0.0,0.5,13.332225322723389
14,7,0.7894148230552673,0.6416666666666667,0.6374458874458874,0.4607467102053934,0.42786666647909083,0.7168152545179639,0.651529869468096,0.39199372056514914,0.43373688458434223,5.308375222342355
15,2,1.0,1.0,1.0,0.12903225806451615,0.05714285714285715,0.37372196465730667,0.22007702115704034,0.8823529411764706,0.16666666666666666,6.426901340484619
