conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.7165450006723404,0.6101905325783035,0.5242618492618493,0.09937328237637837,0.08436860300684096,0.31815323838964105,0.3138098694190861,0.648492275698158,0.05555555555555555,3.4259179631868997
2,9,0.6311852369043562,0.5454519741619844,0.49943019943019945,0.14823914703742297,0.13335041372248826,0.373262882232666,0.3664181837369341,0.6042654090838991,0.08024691358024691,3.8879034519195557
3,10,0.7634288907051087,0.7286224233283056,0.7220923520923521,0.15130662020905922,0.10315063532744428,0.3870905705727637,0.474926850230749,0.42319410305064953,0.11666666666666665,4.979360461235046
4,9,0.9014774627155728,0.7572051042639277,0.827665544332211,0.3017312362111481,0.31602154494540224,0.617873759733306,0.4087879853785153,0.6958608467825057,0.25,5.869877099990845
5,5,0.990165114402771,0.9333333333333332,0.8800000000000001,0.29248988719958235,0.32498995413578874,0.5978824704885483,0.28742015985966074,0.7645259764766793,0.45499999999999996,7.1255574226379395
6,1,0.719626784324646,0.6956521739130435,0.7407407407407408,0.36942675159235666,0.36036036036036034,0.7003804445266724,0.506126203784695,0.6233766233766234,0.15789473684210525,9.142752647399902
7,4,0.8821448683738708,0.7583333333333333,0.5807692307692307,0.47039473684210525,0.41911764705882354,0.5803119987249374,0.832124799489975,0.0,0.25,3.1598095893859863
8,7,0.7246264772755759,0.6060985797827902,0.5705627705627706,0.07504912980878527,0.07327592670561703,0.237206462803962,0.4280344895270196,0.39549666020254254,0.05194805194805195,3.123274326324463
9,7,0.7842883893421718,0.6858322276278932,0.6536796536796537,0.2196753910710966,0.20824585669484183,0.5592518108231681,0.4175871872984989,0.643437862950058,0.2006802721088435,4.0489871842520575
10,6,0.9327853918075562,0.7063492063492064,0.8373015873015873,0.5612956989247312,0.4534229973247847,0.7283712650338808,0.6274862935174679,0.4218532925812726,0.8282828282828283,3.2603731552759805
11,5,0.7621365785598755,0.7224242424242424,0.7365079365079366,0.3350484436198722,0.3151821862348178,0.6098876759409905,0.5638188631940675,0.38362637362637364,0.4333333333333333,3.6441574096679688
12,10,0.9095489382743835,0.8188842203548086,0.8335353535353536,0.31220365416859597,0.25426110434705856,0.6594591856002807,0.5707260731046221,0.4594053946053946,0.32999999999999996,3.451310324668884
13,1,0.6827290058135986,0.47619047619047616,0.761904761904762,0.3714285714285714,0.32608695652173914,0.6363193988800049,0.854527759552002,0.0,0.5,9.04789924621582
14,7,0.7894148060253688,0.6416666666666667,0.6374458874458874,0.38089752713040387,0.3600336853334162,0.5678681986672538,0.6875554427322077,0.23265306122448978,0.2621468926553672,3.193347896848406
15,2,1.0,1.0,1.0,0.10526315789473685,0.052631578947368425,0.32163552939891815,0.16455843210220336,0.9166666666666667,0.16666666666666666,4.37486732006073
