conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,1.0000000149011612,1.0,1.0,0.8466928484717462,0.7961820277137104,0.911649689078331,0.8573884572740974,0.1601871996078961,0.7689393939393939,3.29044908285141
2,9,0.9674583739704556,0.908902691511387,0.9490884072927417,0.8214130931916777,0.8017865053427148,0.9379971822102865,0.877349793327718,0.16308179926066105,0.891358024691358,5.652379777696398
3,10,0.9340259432792664,0.895438596491228,0.8961538461538462,0.7421949358157484,0.7309424632580181,0.8625334292650223,0.7831611637181074,0.2500537832687934,0.7458333333333333,2.7165454864501952
4,9,0.9514478511280484,0.8851851851851852,0.9373737373737373,0.5973805824541566,0.5495222448586657,0.8909658723407321,0.6311734901518318,0.4510180570781924,0.7575757575757576,5.769998841815525
5,5,0.8813026070594787,0.799749373433584,0.7871794871794872,0.5940903859016686,0.611514426908975,0.8423219442367553,0.6305366902625622,0.4538037036856585,0.735,5.1128521919250485
6,1,0.5596617460250854,0.5641025641025641,0.6666666666666665,0.7215189873417722,0.7288888888888888,0.912400484085083,0.8034217320955717,0.2692307692307692,0.8421052631578947,10.643747091293335
7,4,1.0000000149011612,1.0,1.0,0.8881578947368421,0.875,0.9824650138616562,0.9356330643681919,0.09558823529411764,0.9166666666666666,2.475044906139374
8,7,1.000000034059797,1.0,1.0,0.6879437132243599,0.6607435097208069,0.8791989513805935,0.7371118193774624,0.3362012410598042,0.6760461760461761,5.341142450060163
9,7,0.9239637085369655,0.8653198653198653,0.8583959899749374,0.6491165311313722,0.6333586257067179,0.8847898415156773,0.7221152907296309,0.3448961742390237,0.7448979591836735,3.912903206689017
10,6,0.997877428929011,0.9901960784313726,1.0,0.7421911421911421,0.5533186247471962,0.7933366298675537,0.7094002344391562,0.288510101010101,0.8333333333333334,3.4569197495778403
11,5,0.9869720935821533,0.9818181818181818,0.9818181818181818,0.7207899159663865,0.707672469374597,0.8490443348884582,0.681617300309633,0.30350877192982456,0.75,2.587300157546997
12,10,0.9260934472084046,0.8544523072386848,0.8594155844155844,0.6423947371820146,0.6004933654461483,0.936637681722641,0.7526638972236641,0.3260930558916714,0.8099999999999999,3.732149124145508
13,1,0.636320173740387,0.6206896551724138,0.7777777777777778,0.9743589743589743,0.9182389937106918,0.9872311353683472,0.9648924541473388,0.05,1.0,10.239680767059326
14,7,0.9658360481262207,0.9765590446704998,0.9684981684981685,0.9243041698284665,0.9031515988037727,0.9638163702828544,0.9229907252733675,0.10422637139962368,0.9523809523809524,3.033846139907837
15,2,1.0,1.0,1.0,0.9807692307692308,0.9827586206896552,0.994063138961792,0.9860867940462553,0.019230769230769232,1.0,2.165742039680481
