conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.9305678506692251,0.8771739130434782,0.8275462962962963,0.7194178874448046,0.7219231654477037,0.8878409117460251,0.7663201731732324,0.30503762145544683,0.8404040404040405,3.650132715702057
2,9,0.9701984723409017,0.937888198757764,0.9614723082215342,0.8469817335742438,0.8532456544676804,0.9491770267486572,0.8922241543790113,0.14574442720075276,0.8950617283950617,5.397714032067193
3,10,0.9379861295223236,0.9270175438596491,0.9115384615384615,0.7787570271767122,0.7836064941692944,0.8779984682798385,0.8285142419735669,0.19559409810435802,0.8291666666666666,2.6730477809906006
4,9,0.9380203353034126,0.8291005291005291,0.9003367003367004,0.7302995956969202,0.6733519873794716,0.8973032236099243,0.8053501220866706,0.22558405430192455,0.7483164983164983,3.6982449690500894
5,5,0.9117941617965698,0.8523809523809524,0.862937062937063,0.6867339489768787,0.7062766811151576,0.9277634501457215,0.7884556499852495,0.3044162167883984,0.8133333333333332,4.41385931968689
6,1,0.6094441413879395,0.6666666666666666,0.7499999999999999,0.6352941176470589,0.6285714285714284,0.9211835861206055,0.7284734344482422,0.4,0.7894736842105263,10.903934478759766
7,4,1.0000000149011612,1.0,1.0,0.901685393258427,0.8853383458646616,0.9727765470743179,0.9252808315956846,0.10638297872340426,0.8333333333333333,2.6823721528053284
8,7,1.000000034059797,1.0,1.0,0.7508373527646096,0.7084414233040901,0.8885228719030108,0.7839254625711847,0.26559924094170667,0.7864357864357865,5.25507766859872
9,7,0.8530380214963641,0.7489177489177489,0.7380952380952381,0.6126808891704324,0.6333004591133531,0.8009014981133598,0.6850751170166746,0.3742923000509902,0.663265306122449,3.469137055533273
10,6,0.997877428929011,0.9901960784313726,1.0,0.7421911421911421,0.5533186247471962,0.7933366298675537,0.7094002344391562,0.288510101010101,0.8333333333333334,3.4214326540629068
11,5,1.000000011920929,1.0,1.0,0.8098484848484848,0.8101921470342524,0.9114311575889588,0.8364744168194858,0.19575757575757574,0.8666666666666666,2.423692750930786
12,10,0.9330962121486663,0.8687380215243993,0.9022727272727273,0.6788057083874741,0.6631054141298292,0.9495281875133514,0.744599119657876,0.3505739241265557,0.9099999999999999,4.053610014915466
13,1,0.636320173740387,0.6206896551724138,0.7777777777777778,0.9243697478991597,0.9012345679012346,0.9963542819023132,0.9307997772770543,0.11290322580645161,1.0,10.131353616714478
14,7,0.9999999829701015,1.0,1.0,0.9380645952074523,0.9004990309338136,0.9581864561353411,0.9349788431057655,0.08049289891395153,0.9714285714285714,3.073704106467111
15,2,1.0,1.0,1.0,0.8454545454545455,0.8010752688172044,0.9743749797344208,0.8863017160316994,0.1724137931034483,0.8333333333333333,2.28532075881958
