conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.7165450006723404,0.6101905325783035,0.5242618492618493,0.06755329066985839,0.07186688857503057,0.25725705611209077,0.27779082478344164,0.6734374909384043,0.0,6.365930875142415
2,9,0.6311852369043562,0.5454519741619844,0.49943019943019945,0.07417673730363371,0.0737271072139401,0.3382357690069411,0.28738391348405157,0.7307578586990352,0.024691358024691357,6.90687280231052
3,10,0.7682958841323853,0.7250025138260432,0.7198701298701299,0.12169309190981017,0.043345255854916685,0.35889938585460185,0.32932207111822925,0.6608321308321308,0.016666666666666666,6.75980052947998
4,9,0.9014774627155728,0.7572051042639277,0.827665544332211,0.2577721581311634,0.2770318411742718,0.6297628604289558,0.4081595458183637,0.7331617331617332,0.2836700336700337,8.114205042521158
5,5,0.990165114402771,0.9333333333333332,0.8800000000000001,0.3169257150591992,0.3310497913526032,0.6960210680961609,0.3295051430785305,0.7415678293820023,0.4416666666666666,5.714166593551636
6,1,0.719626784324646,0.6956521739130435,0.7407407407407408,0.36942675159235666,0.36036036036036034,0.7003804445266724,0.506126203784695,0.6233766233766234,0.15789473684210525,9.606363534927368
7,4,0.8821448683738708,0.7583333333333333,0.5807692307692307,0.3508295194508009,0.2762605042016807,0.5834557041525841,0.5187500566244125,0.40625,0.25,5.422251045703888
8,7,0.7246264772755759,0.6060985797827902,0.5705627705627706,0.07039478303378675,0.09478444730333635,0.2759742782052074,0.2454218789072196,0.7380086650044634,0.05194805194805195,7.442706108093262
9,7,0.7842883893421718,0.6858322276278932,0.6536796536796537,0.1598684344618144,0.1543864377492821,0.5223778528826577,0.2792140106478536,0.8325690743243302,0.15306122448979592,7.995989629200527
10,6,0.9327853918075562,0.7063492063492064,0.8373015873015873,0.31622391888863105,0.2344518944727992,0.6243663554390272,0.3974134815341966,0.684330669165638,0.35555555555555557,6.135567863782247
11,5,0.7621365785598755,0.7224242424242424,0.7365079365079366,0.2622738018482699,0.21518218623481783,0.49693453758955003,0.43891732813321155,0.5164935064935066,0.3333333333333333,6.248733377456665
12,10,0.9095489382743835,0.8188842203548086,0.8335353535353536,0.2040560866266413,0.1768857915780185,0.4978936597704887,0.3934160410882911,0.6614141032438905,0.22000000000000003,8.566536712646485
13,1,0.6827290058135986,0.47619047619047616,0.761904761904762,0.37037037037037035,0.15053763440860213,0.6458841562271118,0.6333536624908447,0.375,0.5,11.172779560089111
14,7,0.7894148060253688,0.6416666666666667,0.6374458874458874,0.17200734324021996,0.16751845081283775,0.35026984555380686,0.3501572910944621,0.621031746031746,0.06214689265536723,6.385337284633091
15,2,1.0,1.0,1.0,0.06060606060606061,0.0625,0.14817770570516586,0.39085002965048743,0.4473684210526316,0.0,5.132981061935425
