Embedding,Generation,Overall Score,Entity-F1,Token-F1,Semantic Similarity,Hallucination,Faithfulness,Latency (s)
minilm,qwen,0.806,0.761,0.738,0.903,0.242,0.806,3.859
bge,qwen,0.789,0.746,0.710,0.900,0.263,0.781,4.075
multiqa,qwen,0.777,0.741,0.716,0.893,0.255,0.795,3.893
bge,mistral_v02,0.490,0.417,0.390,0.701,0.618,0.451,5.181
minilm,mistral_v02,0.485,0.418,0.389,0.704,0.617,0.452,4.930
multiqa,mistral_v02,0.482,0.416,0.398,0.696,0.610,0.460,4.859
bge,mistral_v01,0.379,0.303,0.268,0.588,0.541,0.475,4.774
minilm,mistral_v01,0.340,0.265,0.234,0.530,0.555,0.450,4.497
multiqa,mistral_v01,0.338,0.252,0.226,0.500,0.505,0.473,4.198
minilm,phi2,0.277,0.209,0.184,0.493,0.669,0.365,6.969
bge,phi2,0.269,0.203,0.165,0.486,0.665,0.352,7.385
multiqa,phi2,0.249,0.178,0.158,0.443,0.671,0.349,7.021
