Config,Embedding,Generation,N_turns,N_convs,res_Semantic Similarity_mean,res_Semantic Similarity_std,res_Token-F1_mean,res_Token-F1_std,res_Entity-F1_mean,res_Entity-F1_std,res_Token Overlap_mean,res_Token Overlap_std,ans_Entity-F1_mean,ans_Entity-F1_std,ans_Token-F1_mean,ans_Token-F1_std,ans_Cosine Similarity_mean,ans_Cosine Similarity_std,ans_Semantic Similarity_mean,ans_Semantic Similarity_std,ans_Answer Relevance_mean,ans_Answer Relevance_std,ans_Hallucination_mean,ans_Hallucination_std,ans_Faithfulness_mean,ans_Faithfulness_std,ans_Completeness_mean,ans_Completeness_std,ans_Key Info_mean,ans_Key Info_std,ans_Exact Match_mean,ans_Exact Match_std,Latency (s)_mean,Latency (s)_std,resolution_score,overall_score,gen_quality,faithfulness_score,completeness_score
minilm_qwen,minilm,qwen,95,15,0.9454,0.1196,0.9065,0.1903,0.914,0.1934,0.8706,0.2448,0.7611,0.2641,0.7383,0.2712,0.9031,0.1564,0.9031,0.1564,0.6319,0.1789,0.2423,0.2732,0.8058,0.2384,0.8358,0.2738,0.8102,0.2871,0.2421,0.4306,3.8586,1.9814,0.9243,0.8062,0.8009,0.7912,0.8358
bge_qwen,bge,qwen,95,15,0.9539,0.1063,0.9218,0.1519,0.9328,0.1463,0.8842,0.2107,0.7457,0.2633,0.7099,0.2729,0.9002,0.1522,0.9002,0.1522,0.6399,0.1783,0.2628,0.281,0.781,0.2569,0.8018,0.3042,0.8363,0.264,0.2105,0.4098,4.0752,2.2146,0.9379,0.7893,0.7853,0.7848,0.8018
multiqa_qwen,multiqa,qwen,95,15,0.9504,0.1068,0.9061,0.1727,0.9122,0.1761,0.8652,0.2374,0.7413,0.2698,0.7155,0.2777,0.893,0.1602,0.893,0.1602,0.6347,0.1762,0.2553,0.2795,0.7948,0.2404,0.7642,0.329,0.7936,0.2958,0.2421,0.4306,3.8929,2.0377,0.9256,0.7766,0.7833,0.7777,0.7642
bge_mistral_v02,bge,mistral_v02,95,15,0.8412,0.1581,0.7088,0.2563,0.7252,0.2573,0.6099,0.3137,0.4174,0.2307,0.3897,0.2251,0.7007,0.1869,0.7007,0.1869,0.5756,0.1238,0.6178,0.2437,0.4514,0.2502,0.4871,0.3677,0.603,0.3035,0.0,0.0,5.1815,2.467,0.7667,0.4904,0.5026,0.4789,0.4871
minilm_mistral_v02,minilm,mistral_v02,95,15,0.8364,0.1856,0.7173,0.2643,0.7207,0.2813,0.6237,0.3197,0.4179,0.2403,0.389,0.2318,0.7038,0.1873,0.7038,0.1873,0.5909,0.1412,0.617,0.2437,0.4522,0.2486,0.4659,0.3778,0.5949,0.3355,0.0,0.0,4.9301,2.575,0.7659,0.4847,0.5036,0.4767,0.4659
multiqa_mistral_v02,multiqa,mistral_v02,95,15,0.8244,0.1835,0.7003,0.2599,0.7143,0.2606,0.6011,0.3182,0.416,0.2442,0.3979,0.2314,0.6961,0.1959,0.6961,0.1959,0.5799,0.1453,0.6095,0.2435,0.4602,0.2506,0.4591,0.3766,0.5676,0.3352,0.0,0.0,4.8591,2.4081,0.7542,0.4816,0.5033,0.4727,0.4591
bge_mistral_v01,bge,mistral_v01,95,15,0.7957,0.2196,0.698,0.2801,0.6869,0.3141,0.608,0.3413,0.3031,0.2601,0.2677,0.2507,0.5879,0.2424,0.5879,0.2424,0.4635,0.1686,0.5408,0.3542,0.4754,0.286,0.2917,0.3497,0.3631,0.326,0.0105,0.1026,4.7739,3.331,0.7338,0.3788,0.3862,0.4326,0.2917
minilm_mistral_v01,minilm,mistral_v01,95,15,0.7808,0.2369,0.6854,0.2835,0.6723,0.3203,0.5932,0.3409,0.2647,0.2556,0.2339,0.2428,0.5301,0.2609,0.5301,0.2609,0.4255,0.1942,0.5551,0.3667,0.4495,0.2849,0.2484,0.342,0.3125,0.3092,0.0105,0.1026,4.497,2.5264,0.7196,0.3401,0.3429,0.4023,0.2484
multiqa_mistral_v01,multiqa,mistral_v01,95,15,0.8053,0.2019,0.7029,0.2754,0.6922,0.3105,0.6121,0.3376,0.2521,0.2755,0.2264,0.2638,0.4996,0.2862,0.4996,0.2862,0.3996,0.1942,0.5046,0.394,0.4734,0.2926,0.2433,0.3571,0.289,0.3232,0.0211,0.1443,4.1978,2.5953,0.7406,0.338,0.326,0.4193,0.2433
minilm_phi2,minilm,phi2,95,15,0.773,0.2606,0.6811,0.3037,0.6714,0.331,0.5953,0.3522,0.2088,0.2125,0.1841,0.1936,0.4934,0.2486,0.4934,0.2486,0.4329,0.2122,0.6689,0.333,0.3648,0.2631,0.1743,0.2702,0.2909,0.3007,0.0,0.0,6.9694,3.5264,0.7149,0.2769,0.2954,0.3289,0.1743
bge_phi2,bge,phi2,95,15,0.8012,0.2009,0.6973,0.2728,0.6846,0.3084,0.6035,0.333,0.2028,0.1879,0.1648,0.1548,0.4859,0.2464,0.4859,0.2464,0.4313,0.2073,0.6648,0.3303,0.3518,0.2478,0.1752,0.2773,0.2653,0.2829,0.0,0.0,7.3849,2.6134,0.7351,0.2687,0.2845,0.3175,0.1752
multiqa_phi2,multiqa,phi2,95,15,0.8058,0.2013,0.7026,0.2762,0.6919,0.3108,0.6119,0.338,0.1782,0.2013,0.1581,0.1874,0.4431,0.2636,0.4431,0.2636,0.4077,0.2107,0.6709,0.3426,0.3491,0.2496,0.1545,0.2996,0.2302,0.2797,0.0,0.0,7.0208,2.3736,0.7407,0.2485,0.2598,0.3028,0.1545
