Embedding,Generation,Overall Score,Entity-F1,Token-F1,Semantic Similarity,Hallucination,Faithfulness,Latency (s)
minilm,mistral_v02,0.291,0.241,0.197,0.561,0.788,0.280,5.067
multiqa,mistral_v02,0.285,0.243,0.192,0.556,0.718,0.348,2.718
minilm,qwen,0.271,0.210,0.162,0.455,0.727,0.300,2.621
multiqa,qwen,0.253,0.198,0.159,0.496,0.767,0.293,2.207
bge,qwen,0.249,0.202,0.172,0.453,0.816,0.238,3.878
bge,mistral_v02,0.239,0.207,0.170,0.427,0.789,0.248,4.502
multiqa,phi2,0.231,0.185,0.154,0.420,0.698,0.330,4.171
minilm,phi2,0.229,0.186,0.134,0.442,0.724,0.312,2.913
multiqa,mistral_v01,0.198,0.147,0.123,0.410,0.737,0.299,3.415
bge,phi2,0.189,0.149,0.120,0.324,0.765,0.251,4.301
bge,mistral_v01,0.179,0.153,0.131,0.341,0.801,0.221,5.414
minilm,mistral_v01,0.175,0.124,0.114,0.428,0.877,0.189,5.084
