Configuration,Embedding,Generation,N,Entity-F1_mean,Entity-F1_std,Token-F1_mean,Token-F1_std,Cosine Similarity_mean,Cosine Similarity_std,Semantic Similarity_mean,Semantic Similarity_std,Answer Relevance_mean,Answer Relevance_std,Hallucination_mean,Hallucination_std,Faithfulness_mean,Faithfulness_std,Completeness_mean,Completeness_std,Key Info_mean,Key Info_std,Exact Match_mean,Exact Match_std,Latency (s)_mean,Latency (s)_std
bge_mistral_v01,bge,mistral_v01,100,0.8214791735132487,0.2981588173097718,0.7883963126305573,0.33851576579706816,0.8676962764561176,0.23026764490137341,0.8676962414383889,0.23026763319088928,0.5217675997316837,0.17404987562635857,0.10347677906888432,0.252525245679692,0.8783156819703203,0.2276761032212373,0.8169166666666666,0.33189177977050993,0.8367638146167558,0.2880468011453647,0.59,0.4943110704237102,0.2833608865737915,0.17338213887258455
bge_mistral_v02,bge,mistral_v02,100,0.40892736854497325,0.3606660713053334,0.37642567808722993,0.3679244859388751,0.6977148127369582,0.2382555120658898,0.6977147993072867,0.23825551091247005,0.6306718312203884,0.10834671529094002,0.5835093607038278,0.3582899356523172,0.4981039502671956,0.31768405020455165,0.39464682539682544,0.40773302039787074,0.4440823899469411,0.39442853301742486,0.23,0.42295258468165076,1.6089312267303466,1.6635364392355225
bge_phi2,bge,phi2,100,0.49917578145773384,0.4222844431777643,0.44998922124743784,0.44233803841231534,0.694630429930985,0.28894991144918775,0.6946304229740053,0.28894991469818365,0.5212033220659942,0.17682693051930068,0.4376518488066459,0.4233788003562084,0.59108360780648,0.3650124794846601,0.5052480158730159,0.46492742220058425,0.5181503835002288,0.42313992653902827,0.34,0.47609522856952374,1.3780887484550477,1.7893469932137267
bge_qwen,bge,qwen,100,0.6334724569313435,0.31984888215340895,0.5404283945171123,0.32835055299314103,0.7713018999993801,0.23498332404293584,0.7713018959015607,0.23498331443467094,0.6727482520788908,0.18931794526260076,0.335051979745591,0.32065211398207494,0.6775836093601859,0.29552207988385915,0.6456845238095238,0.39124020180067326,0.6816652500835939,0.35198484719959183,0.25,0.4351941398892446,1.1958103322982787,1.4907558120195519
minilm_mistral_v01,minilm,mistral_v01,100,0.8323913234740045,0.29350542685359193,0.808254195650956,0.3242600612765792,0.8729797181487083,0.2328531700445527,0.8729796797037125,0.2328531542115873,0.5252724488079548,0.1692439935689223,0.09471266233766233,0.24667184856219626,0.8859304739452027,0.2286537106334394,0.8290833333333333,0.33603178586424104,0.8570376241405653,0.27931062252119077,0.63,0.4852365870939098,0.26514917373657226,0.16956621536601743
minilm_mistral_v02,minilm,mistral_v02,100,0.41719122286256166,0.3609226611113925,0.3838636383310927,0.3693223778970425,0.703850505836308,0.22918871295033091,0.70385049181059,0.22918870872241312,0.6002857260406017,0.12333024764945187,0.5834946822976765,0.35867714476662527,0.49518212715578225,0.32240186557501355,0.41523412698412704,0.42552148024027875,0.422002249012311,0.4096620405350019,0.24,0.42923469599092856,1.5640279984474181,1.5220380703410277
minilm_phi2,minilm,phi2,100,0.43913492829720147,0.41346532520307333,0.38696946254845277,0.42404520884931035,0.619508547745645,0.3219884835944131,0.6195085455663503,0.32198848120899665,0.49392301723361015,0.19317272192309493,0.4880407761344042,0.41976577236246604,0.5315058293940657,0.3630291955067447,0.4360595238095238,0.4660862920478821,0.43484632741985685,0.4279317069987922,0.27,0.4461960433384742,1.1066167902946473,1.413717777883341
minilm_qwen,minilm,qwen,100,0.6186063483932158,0.3219624654137475,0.5333871314787781,0.33729076991734463,0.7674928336590529,0.2336768925899682,0.7674928250908851,0.23367688552679686,0.6578141614422202,0.19289503443679132,0.35964191962126013,0.32828271069549775,0.6608069041034345,0.301767590160841,0.6320039682539682,0.39484571675430163,0.6477287965016294,0.3715151008834994,0.25,0.4351941398892446,1.1952504849433898,1.4129132925451906
multiqa_mistral_v01,multiqa,mistral_v01,100,0.7967891933014009,0.325349882094052,0.7572937813641977,0.3616281794753247,0.8469278810918331,0.2543418145614392,0.8469278501719236,0.254341805774645,0.5033406022936106,0.1782909411060868,0.10748951681230162,0.26873139579832145,0.8683089987351077,0.24532526752099396,0.7749404761904762,0.3651255293841024,0.8047821296350708,0.3256043076051867,0.58,0.49604496374885837,0.2790854072570801,0.17021299548707533
multiqa_mistral_v02,multiqa,mistral_v02,100,0.4098277370057798,0.35683699273660396,0.38124781154758713,0.364408720272566,0.6926554469764232,0.22795292832979694,0.6926554422080516,0.22795292251341098,0.6280151180922985,0.1028046645689859,0.5878511969388714,0.354272977416343,0.4882114991818641,0.31907794823748686,0.4229246031746031,0.4136742982630845,0.4322539351200343,0.3994784371367695,0.23,0.42295258468165076,1.752103042602539,1.7971976913494374
multiqa_phi2,multiqa,phi2,100,0.4704180241495862,0.41577236521279465,0.422367814744084,0.42889668248842144,0.6455767589062452,0.30885293193343427,0.6455767465382815,0.30885293050878615,0.4911000982671976,0.19865766143280705,0.4686670892776085,0.4243214820583525,0.5559302357474243,0.36593318649307477,0.4350833333333333,0.4607663828509488,0.4841598194833489,0.429965014392668,0.31,0.4648231987117316,1.1181653237342835,1.4229521523424271
multiqa_qwen,multiqa,qwen,100,0.5929602209667062,0.32136405925627215,0.5105911932089595,0.3478954179411618,0.7575825247727335,0.2390687333294444,0.7575825190776959,0.2390687284358983,0.6587110971659422,0.19831463271434951,0.37773477973441244,0.3305150111881663,0.6383489493589469,0.30188917879609517,0.5972619047619048,0.3809192376589104,0.6111810892209499,0.38594703597354724,0.26,0.4408440022768078,1.1698401331901551,1.4479597804123812
