Embedding,Generation,Overall Score,Entity-F1,Token-F1,Semantic Similarity,Hallucination,Faithfulness,Latency (s)
minilm,mistral_v01,0.850,0.831,0.808,0.873,0.104,0.881,0.769
bge,mistral_v01,0.836,0.816,0.786,0.862,0.110,0.872,0.592
multiqa,mistral_v01,0.810,0.794,0.756,0.846,0.116,0.863,0.612
minilm,qwen,0.689,0.665,0.580,0.792,0.329,0.686,2.427
multiqa,qwen,0.681,0.663,0.584,0.792,0.320,0.697,2.093
bge,qwen,0.660,0.635,0.560,0.777,0.353,0.666,2.334
minilm,mistral_v02,0.499,0.460,0.428,0.713,0.533,0.536,1.859
bge,mistral_v02,0.481,0.438,0.393,0.709,0.556,0.520,1.841
multiqa,mistral_v02,0.474,0.425,0.400,0.700,0.570,0.501,1.687
bge,phi2,0.455,0.417,0.379,0.600,0.529,0.499,1.291
multiqa,phi2,0.433,0.410,0.358,0.589,0.526,0.497,1.115
minilm,phi2,0.421,0.388,0.342,0.575,0.555,0.478,1.010
