Configuration,Embedding,Generation,N,Entity-F1_mean,Entity-F1_std,Token-F1_mean,Token-F1_std,Cosine Similarity_mean,Cosine Similarity_std,Semantic Similarity_mean,Semantic Similarity_std,Answer Relevance_mean,Answer Relevance_std,Hallucination_mean,Hallucination_std,Faithfulness_mean,Faithfulness_std,Completeness_mean,Completeness_std,Key Info_mean,Key Info_std,Exact Match_mean,Exact Match_std,Latency (s)_mean,Latency (s)_std
bge_mistral_v01,bge,mistral_v01,100,0.8164235490383838,0.2973231399781676,0.7858422000764449,0.3374267644000135,0.8615136025846004,0.23293599311694393,0.8615135717391967,0.23293598036383462,0.5312827648222447,0.16964649569864748,0.1099157460186872,0.2528212106412729,0.8719792339207618,0.22878359404203524,0.8158055555555555,0.33145836662067096,0.8371804812834225,0.2868518330356075,0.58,0.49604496374885837,0.5919341897964477,1.8928254619806266
bge_mistral_v02,bge,mistral_v02,100,0.43827097695184974,0.3809306941880606,0.39295767202231724,0.38634279602822985,0.7091307977586985,0.2445131923212622,0.7091307850927114,0.24451318981817657,0.6051235319674015,0.13852275045287069,0.5560745887110677,0.3826052507138363,0.5198454617540326,0.33451782808869834,0.4424880952380953,0.4257051061005986,0.45164263041739827,0.415486423992411,0.26,0.44084400227680776,1.8414364814758302,2.01298568515733
bge_phi2,bge,phi2,100,0.4166281840295978,0.43452634107654853,0.3793759149636874,0.4444907289514402,0.6003804292716086,0.32633725916854817,0.600380423469469,0.32633725362315563,0.48711422096937895,0.19813583561123166,0.5290313807330262,0.4452065299928039,0.4992509720039016,0.39437672963596615,0.4144563492063492,0.45891127920828206,0.44664657298326027,0.44759869038307315,0.3,0.46056618647183817,1.2910757184028625,1.7103037449648182
bge_qwen,bge,qwen,100,0.6350293482822684,0.3306155631049734,0.5597252605501825,0.34433421479017945,0.7772791974619031,0.24294021796758908,0.7772791881859302,0.2429402108982499,0.6565529212728143,0.17325358528459572,0.35296011317291764,0.3406135479285718,0.6656076741296063,0.3150065849659436,0.6523888888888889,0.38972406164107143,0.6939081761318602,0.36168646508480357,0.26,0.4408440022768076,2.33395001411438,2.6165629594406417
minilm_mistral_v01,minilm,mistral_v01,100,0.8305431599118325,0.2894519172795449,0.8079031838818885,0.32354874624325614,0.8727659240365029,0.22988798666853677,0.8727658855915069,0.22988796679733267,0.5392716318368912,0.1665101894324196,0.10417084599797366,0.24703135749220012,0.8806354153915379,0.226927603492652,0.8315833333333333,0.3306887835243609,0.857454290807232,0.2781104920251901,0.61,0.4902071300001974,0.7685375332832336,2.443834232324471
minilm_mistral_v02,minilm,mistral_v02,100,0.4596226866207019,0.3848806313637862,0.42757140667583926,0.3880124507552022,0.7130503114685416,0.252496299903751,0.7130502997804433,0.25249629636389087,0.5958736637234687,0.14234254860971385,0.5334283089571776,0.38789989331035346,0.5363206628564208,0.3420065169850353,0.45627182539682537,0.423441132324142,0.4714210917221753,0.41455365740583006,0.29,0.45604802157206814,1.8593463325500488,1.9708880032966463
minilm_phi2,minilm,phi2,100,0.3881109911629837,0.4247732512806983,0.3416816994474539,0.43296634848755083,0.5753277910873293,0.3323223535685645,0.5753277816064656,0.33232234553998896,0.4840296711307019,0.2177651553956471,0.5552942100361853,0.4417362792126015,0.47793563857464944,0.38528823140818474,0.37139285714285714,0.45449741782464703,0.39656085254614676,0.4312540609114147,0.29,0.45604802157206814,1.0096714210510254,1.355183284779434
minilm_qwen,minilm,qwen,100,0.6649465338710862,0.31361470918216444,0.5798082606153916,0.331344676350283,0.7920693562179804,0.2145644852766461,0.792069339454174,0.2145644716752974,0.659283502213657,0.16620424504147904,0.3285434726846341,0.32804353283535537,0.68585420948579,0.3057687413889499,0.6984384920634921,0.3621158694493994,0.7218646787795396,0.33801886947614623,0.25,0.4351941398892446,2.427046813964844,2.775161459500692
multiqa_mistral_v01,multiqa,mistral_v01,100,0.7941585177200088,0.3234468403942529,0.7556983733357998,0.360714350695083,0.8456279842555523,0.25310308673371396,0.8456279581040144,0.2531030778714972,0.5086628080159425,0.17584961198186422,0.11630173400687177,0.2719425888615834,0.8625017115912018,0.24681950122742474,0.7738293650793651,0.3646024202907181,0.8049607010636423,0.3254502198709887,0.57,0.4975698519562428,0.6115357494354248,2.123886200729552
multiqa_mistral_v02,multiqa,mistral_v02,100,0.4248816792911847,0.3774423768266938,0.400093715046445,0.38144767775963667,0.699593754131347,0.2558238082610452,0.6995937525108457,0.25582380417413597,0.6130034372210502,0.12628821025857154,0.5695597609516924,0.37684677553070633,0.5013778218352161,0.33661553324132093,0.43966865079365086,0.4269959062065998,0.4500848634509626,0.41901687188266373,0.26,0.44084400227680776,1.686541566848755,1.9176589924021783
multiqa_phi2,multiqa,phi2,100,0.41039641691057377,0.4156032013370952,0.35812919514156777,0.4355794896465648,0.5888519027084113,0.33927988796817354,0.5888518963754177,0.3392798847177676,0.46840770848095414,0.2122192928748296,0.5260354785290821,0.42695835003065014,0.4967353772033187,0.37270420102191987,0.36543253968253964,0.4519962306459561,0.4087849152481505,0.4332796533863775,0.29,0.45604802157206814,1.1148760056495666,1.5265776334077392
multiqa_qwen,multiqa,qwen,100,0.6628068836267245,0.31497977862068455,0.5838135502737792,0.33248652620523145,0.7922632659226656,0.22804861079885452,0.7922632602602243,0.22804860662137316,0.655494635887444,0.1811142566745402,0.3204809978916478,0.3192699632737154,0.6966105308629668,0.2969261442955817,0.6699246031746031,0.36913931796102256,0.6986387747815768,0.3560670502197541,0.26,0.4408440022768076,2.0934705042839052,2.4694805496275865
