Embedding,Generation,Overall Score,Entity-F1,Token-F1,Semantic Similarity,Hallucination,Faithfulness,Latency (s)
multiqa,mistral_v01,0.883,0.870,0.849,0.905,0.092,0.900,1.002
bge,mistral_v01,0.872,0.857,0.833,0.900,0.105,0.890,1.098
minilm,mistral_v01,0.870,0.854,0.832,0.895,0.102,0.892,0.989
minilm,qwen,0.684,0.653,0.574,0.805,0.350,0.672,3.761
multiqa,qwen,0.679,0.659,0.577,0.810,0.329,0.697,3.545
bge,qwen,0.674,0.654,0.568,0.804,0.336,0.684,3.557
bge,mistral_v02,0.507,0.472,0.446,0.717,0.533,0.538,4.352
minilm,phi2,0.491,0.467,0.435,0.644,0.513,0.523,2.556
multiqa,mistral_v02,0.488,0.447,0.422,0.717,0.559,0.516,4.508
bge,phi2,0.481,0.458,0.432,0.609,0.529,0.503,3.107
minilm,mistral_v02,0.480,0.442,0.415,0.701,0.562,0.510,4.763
multiqa,phi2,0.469,0.446,0.409,0.626,0.524,0.511,2.613
