Configuration,Embedding,Generation,N,Entity-F1_mean,Entity-F1_std,Token-F1_mean,Token-F1_std,Cosine Similarity_mean,Cosine Similarity_std,Semantic Similarity_mean,Semantic Similarity_std,Answer Relevance_mean,Answer Relevance_std,Hallucination_mean,Hallucination_std,Faithfulness_mean,Faithfulness_std,Completeness_mean,Completeness_std,Key Info_mean,Key Info_std,Exact Match_mean,Exact Match_std,Latency (s)_mean,Latency (s)_std
bge_mistral_v01,bge,mistral_v01,100,0.8572115990377186,0.2673924768650309,0.833034033800908,0.306331448342908,0.8997848750650883,0.20607211979918783,0.8997848430275917,0.20607211650232254,0.5512458923459053,0.16463642266903963,0.10546441317026663,0.24151416804105372,0.8901711313079759,0.22255929488132245,0.8659722222222223,0.3055870239381925,0.8769121572871572,0.26258467531750823,0.63,0.48523658709390977,1.0975660228729247,2.9881824684370373
bge_mistral_v02,bge,mistral_v02,100,0.4715070038358566,0.39873188518791586,0.445638427988192,0.4064605355781618,0.7166328912228346,0.2548827136079705,0.7166328677535057,0.25488268800209446,0.5929468037188053,0.12685151674027073,0.5325874292273127,0.39905152131010335,0.5377462403349295,0.35321737658100266,0.4601964285714285,0.44436850850180476,0.48418536872484247,0.42309177255737407,0.33,0.4725815626252603,4.351512887477875,4.322964877952963
bge_phi2,bge,phi2,100,0.4578835757181184,0.4496356772913863,0.43228827658961977,0.458113817397974,0.6090106321126223,0.3607250005651956,0.6090106204897165,0.3607249912856912,0.4714272219501436,0.2241025895679579,0.5287796482621125,0.4510076860550311,0.5032844350224144,0.4175180660726775,0.44230357142857146,0.47956296784084124,0.48639110644257705,0.4559621498957306,0.35,0.47937248544110195,3.1073551750183106,3.999583921321732
bge_qwen,bge,qwen,100,0.6540767106681513,0.31332687231272693,0.5675320108106728,0.3283677345242529,0.8037685215380043,0.21857085507754614,0.8037685162667185,0.21857085783936764,0.6744099804386496,0.16396100539991437,0.33576176210685355,0.321785473664177,0.684128629758221,0.29759072102884176,0.6499702380952381,0.3787844044143285,0.7242358647830782,0.33622358467291275,0.25,0.4351941398892446,3.5572150921821595,4.069588011195345
minilm_mistral_v01,minilm,mistral_v01,100,0.8540791559658468,0.2699836331990366,0.832043877652032,0.30825841349866956,0.895367071479559,0.21468476096455408,0.895367039591074,0.2146847533680394,0.543649260699749,0.16816467351922598,0.10197994306418218,0.23565894911241217,0.8917725593134617,0.21853463722700395,0.8604166666666667,0.31018163599155485,0.8730927128427127,0.26653221606710636,0.65,0.47937248544110206,0.989107563495636,2.822386297720684
minilm_mistral_v02,minilm,mistral_v02,100,0.4419676938409986,0.39263669895461834,0.4148305764672259,0.39922848438023506,0.7011626809276641,0.2555526573158198,0.7011626661010086,0.25555263819778373,0.5996533013880253,0.1304566195168934,0.5618241526273552,0.3924672529397182,0.5102328802436091,0.34946134944051366,0.4366686507936508,0.4309463072219824,0.45172108301055675,0.4285684569168118,0.3,0.46056618647183817,4.762842438220978,4.809608078791229
minilm_phi2,minilm,phi2,100,0.46656989595550835,0.4416457995793349,0.43476326126232606,0.45440900183668353,0.6441983509063721,0.3255432225374222,0.6441983292251825,0.32554319532985615,0.516795996800065,0.18250635026905376,0.5127344150600136,0.438990462103466,0.5227343195863514,0.3982243461137739,0.4336547619047619,0.4702027603153724,0.4990413165266107,0.44686634386273527,0.37,0.48523658709391015,2.5560831689834593,3.15485298075501
minilm_qwen,minilm,qwen,100,0.6528182314920487,0.30482249675321554,0.5735027426873351,0.3223660330922437,0.804621668793261,0.21048716761445557,0.8046216648630797,0.21048717300279696,0.664850234054029,0.1639462047361609,0.35001886012358013,0.3195089015548744,0.6722582883916755,0.2980358190717422,0.6960277777777776,0.36078705899798713,0.7262310672929868,0.3303701754369855,0.24,0.42923469599092856,3.761377191543579,4.200833917885912
multiqa_mistral_v01,multiqa,mistral_v01,100,0.8701839983302042,0.25283439232679783,0.8491392303595433,0.2887627084482133,0.9049035853147507,0.20383589240693958,0.9049035570025444,0.20383588507152473,0.5472365719079971,0.1634649938966922,0.09244717512905706,0.2272100326457183,0.8998163705598791,0.21249885796994683,0.8754960317460317,0.2851369213981817,0.8898982683982684,0.24406851879085967,0.66,0.47609522856952374,1.0016512942314149,3.05649979598895
multiqa_mistral_v02,multiqa,mistral_v02,100,0.44712532321851794,0.3825384644772152,0.42175156025391763,0.38803989316502496,0.7169773408956825,0.247095227400621,0.7169773196801543,0.24709520738737667,0.6158545929193496,0.11886593409041812,0.5588137148456082,0.3833007643715417,0.515721921484434,0.3435144681239516,0.4364345238095238,0.42673538456032867,0.4750641484418574,0.4203148660190928,0.29,0.45604802157206814,4.507554030418396,4.347219098006812
multiqa_phi2,multiqa,phi2,100,0.44629683154513544,0.43874829324229353,0.40884775414899777,0.45739526988423684,0.6264387167524547,0.33789890010389756,0.626438700594008,0.3378988873884976,0.48396415267139675,0.19831530681381163,0.5241190978059959,0.4436396597123868,0.5109175993906482,0.4028620109059082,0.41833730158730165,0.4704983547309337,0.443183257918552,0.4582284389551771,0.36,0.4824181513244218,2.613078498840332,3.2553783615034204
multiqa_qwen,multiqa,qwen,100,0.6585319187756825,0.31311335982890814,0.5770233957824282,0.3291856706702313,0.8103760547935963,0.20396614765882023,0.8103760443814099,0.20396615534649903,0.6702649623155594,0.1521452538222314,0.3287947670342896,0.32500157074871766,0.6967647822585369,0.2917032083505924,0.6485496031746032,0.3802330891496735,0.7257005749095532,0.3330972983317405,0.24,0.42923469599092856,3.544517247676849,3.954193488438599
